siman|seif|text
סימן לא - שכל כונות האדם יהיו לשם שמים. ובו ז' סעיפים:|ג|הישיבה והקימה וההליכה כיצד. אין צריך לומר שלא ישב במושב לצים, ושלא לעמוד בדרך חטאים, ושלא לילך בעצת רשעים. אלא אפלו לישב בסוד ישרים, ולעמוד במקום צדיקים, ולילך בעצת תמימים, אם עשה להנאת עצמו, להשלים חפצו ותאותו, אין זה משובח, אלא יעשה לשם שמים. ומכל מקום, גם אם אי אפשר לו לכון לשם שמים דוקא, אל ימנע את עצמו מדברים אלו, כי מתוך שלא לשמה יבא לשמה.
סימן לא - שכל כונות האדם יהיו לשם שמים. ובו ז' סעיפים:|ד|שכיבה, כיצד. אין צריך לומר בזמן שיכול לעסוק בתורה ובמצות, אם מתגרה בשינה לענג את עצמו, שאינו ראוי לעשות כן, אלא אפלו בזמן שהוא יגע, וצריך לישון כדי לנוח מיגיעתו, אם עשה להנאת גופו אינו משובח, אלא יתכון לתת שנה לעיניו, ולגופו מנוחה לצורך בריאת גופו, ושלא תטרף דעתו בתורה, מחמת מניעת השנה.
סימן לא - שכל כונות האדם יהיו לשם שמים. ובו ז' סעיפים:|ה|תשמיש, כיצד. אין צריך לומר שלא יעבור עברה, חס ושלום, אלא אפלו בעונה האמורה בתורה, אם עשה להנאת גופו, או להשלים תאותו, הרי זה מגונה. ואפלו אם נתכון כדי שיהיו לו בנים, שישמשו אותו וימלאו מקומו, אינו משובח. אלא יתכון שיהיו לו בנים לעבודת בוראו או שיתכון להברות את גופו, ולקים מצות עונה כאדם הפורע את חובו.
סימן לא - שכל כונות האדם יהיו לשם שמים. ובו ז' סעיפים:|ו|השיחה כיצד. אין צריך לומר לספר לשון הרע או רכילות וליצנות וסכלות פה, חס ושלום, אלא אפלו לספר בדברי חכמים, צריך שתהא כונתו לעבודת הבורא, לדבר המביא לעבודתו.
סימן לא - שכל כונות האדם יהיו לשם שמים. ובו ז' סעיפים:|ז|וכן כשהוא עוסק במשא ומתן, או במלאכה להשתכר בה, לא יהא בלבו לקבוץ ממון בלבד, אלא יעשה כדי שיהיה לו לפרנס בני ביתו, ולתת צדקה ולגדל בניו לתלמוד תורה. כללו של דבר, חיב אדם לשום עיניו ולבו על דרכיו, ולשקול כל מעשיו במאזני שכלו. וכשרואה דבר שיבא לידי עבודת הבורא יתעלה יעשהו, ואם לאו לא יעשהו. ומי שנוהג כן, נמצא עובד את בוראו כל ימיו, אפלו בשעת שבתו וקומו והלוכו ובשעת משאו ומתנו, ואפלו באכילתו ושתיתו אפלו בתשמישו ובכל צרכיו. ועל ענין זה צוו רבותינו זכרונם לברכה ואמרו וכל מעשיך יהיו לשם שמים. ובדרך הזה זקף רבנו הקדוש אצבעותיו למעלה בשעת מיתתו ואמר, גלוי וידוע לפניך שלא נהניתי מהם אלא לשם שמים (אורח חיים סימן רל"א ורמב"ם פרק ג).
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|א|הואיל והיות הגוף בריא ושלם מדרכי הושם הוא, שהרי אי אפשר שיבין או ידע דבר מידיעת הבורא והוא חולה, לפיכך צריך האדם להרחיק את עצמו מדברים המאבדין את הגוף, ולהנהיג את עצמו בדברים המברין והמחלימים את הגוף. וכן הוא אומר, ונושמרתם מאד לנפשותיכם.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|ב|הבורא ברוך הוא וברוך שמו, ברא את האדם (וכן כל בעלי חיים) ונתן בו חום טבעי, וזהו החיות של האדם. שאם יכבה האש הטבעי, אפס חיותו. והחזקת החום הזה היא על ידי המאכל אושר האדם אוכל, כמו האש הבוער שאם לא יוסיפו עליו תמיד עצים, יכבה לגמרי. כן האדם אם לא יאכל, יכבה האש אושר בתוכו וימות. המאכל נטחן בין השנים ומתערב עם מיץ הרוק ויותך, ומשם יורד לאצטומכא ונטחן גם שם, ומתערב עם המיצים, מיץ האצטומכא ומיץ המרה, ויותך ויתבשל מהחום והמיצים ומתעכל. הברור שבו, ממנו נזונים כל האברים ומקים חיות האדם. והפסולת שהיא המותרות, נדחה לחוץ. ועל זה אנו אומרים בברכת אשר יצר (לפרוש אחד), ומפליא לעשות, שנתן הקדוש ברוך הוא את הטבע באדם לברור את טוב המאכל, וכל אבר מושך אליו מזונו הראוי לו, והפסולת נדחה לחוץ. שאם נשאר הפסולת בתוכו, יתעפש ויבא לידי חליים, רחמנא לצלן. ולכן רוב בריאות הגוף וחולשתו, תלוי בעכול המאכל. אם מתעכל בדרך קל וטוב, אז האדם בריא. אבל אם מתקלקל העכול. אז נחלש האדם ויכול לבא לידי סכנה, חס ושלום.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|ג|העכול הטוב הוא, אם המאכל איננו רב, ושיהא קל להתעכל. שאם אכל האדם הרבה והאצטומכא מלא, אז קשה העכול, כי האצטומכא אינו יכול אז להתפשט ולהתכוץ כראוי בטבעו ולטחון את המאכל כראוי. וכמו האש, שאם ירבו עליו עצים יותר מדאי, אינו בוער יפה, כמוכן המאכל באצטומכא. ולכן האדם אשר רוצה לשמור בריאות גופו, צריך לזהר שלא לאכול, רק כשעור בינוני לפי מזג גופו, לא מעט ולא כל שובעו. ורוב החלאים הבאים על האדם, אינם אלא או מפני מאכלים רעים, או מפני שהוא ממלא בטנו ואוכל אכילה גסה אפילו ממאכלים טובים. הוא ששלומוה אמר בחכמתו, שומר פיו ולשונו שומר מצרות נפשו. כלומר, שומר פיו מלאכול מאכל רע או מלשבע, ולשונו מלדבר אלא בצרכיו. ואמר החכם, האוכל דבר מועט מדברים המזיקים, אינו מזיק לו כמו האוכל הרבה מדברים הטובים.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|ד|האדם בנעוריו כוח העכול שלו חזק, ועל כן צריך מזון תדיר יותר מן האיש אשר הוא באמצע ימיו. והזקן לחלישות כוחו צריך שיהיה מאכלו קל, ומעט בכמות והרבה באיכות להחזקת כוחו.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|ה|בימי החום נחלשים כלי העכול מן החום. ועל כן ראוי שיהיה שעור האכילה בימי החום פחות מבימי הקור. ושערו חכמי הרופאים לאכול בימות החמה רק שני שלישים ממה שהוא אוכל בימות הגשמים.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|ו|כלל גדול בדרכי הרפואה, שקודם האכילה ייגע בהליכה או בעבודה עד שיתחמם גופו אחר כך יאכל. וזה שנאמר, בזעת אפיך תאכל לחם. ונאמר, ולחם עצלות לא תאכל. ויתיר חגורתו קודם אכילה, (וסימנא, ואקחה פת לחם, אקחה ראשי תבות למפרע, התר חגורה קודם אכילה. פת לחם ראשי תבות, פן תבא לידי חלי מעים) ובשעת האכילה, ישב במקומו או מסב על שמאלו. ואחר האכילה לא יתנועע הרבה, כי על ידי זה ירד המאכל מן האצטומכא טרם שיתעכל ויזיק לו, אלא ילך מעט וינוח. ולא יטיל ולא ייגע את עצמו לאחר האכילה. ולא יישן אחר האכילה עד שתי שעות, שלא יעלו העשנים למוח ויזיקוהו. וכן המרחץ וההקזה והמשגל, אינם טובים לאחר האכילה.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|ז|בני האדם אינם שוים במזגם. יש מי שמזגו חם, ויש מי שמזגו קר, ויש מי שמזגו ממוצע. והמאכלים גם כן משונים. ומי שמזגו ממוצע יאכל מאכלים שהם גם כן ממוצעים. אבל מי שאין מזגו ממוצע, צריך שיאכל מאכלים שהם קצת הפך מזגו. מי שמזגו חם, לא יאכל דברים חמים, כמו תבלין ובשמים, אלא יאכל מאכלים שהם קצת קרים וחמוצים. ומי שמזגו קר, יאכל מאכלים שהם קצת חמים. וכן ישתנה המאכל לפי הזמן ולפי המקום. בימות החמה יאכל מאכלים קרים, כמו בשר כבשים וגדיים רכים ואפרוחי תרנגולת, וגם קצת מאכלים חמוצים. ובימי הקור, מאכלים חמים. וכן במדינה קרה, מאכלים חמים. ובמדינה חמה, מאכלים קרים.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|ח|המאכל הממוצע הוא לחם חטה, ולא סולת ממש, כי הסולת מתאחר מלהתעכל, אך יהיה בו גם קצת מהמורסן ויהא נתחמץ במצוע ובו מלח ומאפה תנור. ויתר המאכלים שנעשו מהחטה, אינם טובים. ממיני הבשור, הטוב הוא כבש בן שנתו, וכן הגדיים היונקים. אך כל מיני בני מעים וגם הראש, המה לא טובים. העזים והפרה הזקנה והגבינה הישנה, המה מאכלים רעים ועבים. כל בשר עוף, קל להתעכל יותר מבשר בהמה. והטוב שבעופות התרנגולת. אמרו הרופאים, כי המאכל שהאדם רגיל בו, אינו מזיק לו, ואפלו הוא מאכל רע, כי ההרגל נעשוה טבע, ובלבד שלא ימלא בו כרסו.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|ט|אין לאכול לב בהמה או עוף, משום דקשה לשכחה. וכן לא יאכל ממקום שאכל עכבר או חתול, דגם כן קשה לשכחה. (הוריות יג).
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|י|זמן האכילה הוא כושיתאוה לאכול תאוה אמתית לא זרה. ולהבדיל בין תאוה אמתית לתאוה זרה היא זאת. הראשונה נקראת רעב (הונגער) כי האצטומכא ריק. והשניה היא כשמתאוה מאכל מיוחד ונקראת תאבון (אפטיט) ובדרך כלל, האדם הבריא והחזק, יאכל שתי פעמים ביום. וחלשים וזקנים יש להם לאכול אך מעט בפעם אחת. ויאכלו כך הרבה פעמים ביום, כי רבוי המאכל יחליש את האצטומכא. והרוצה לשמור בריאותו, לא יאכל עד שיהיה האצטומכא ריק מן המאכל הקודם. וסתם עכול בבני אדם הבריאים האוכלים מאכלים ממוצעים ומתעכלים בדרך המצוע, הוא לשש שעות. וטוב להשמיט סעודה אחת בשבוע, כדי שישבות האצטומכא מעבודתו ויתחזק כוח עכולו. ונראה כי השמטה זאת, טוב שתהא בערב שבת.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|יא|טוב להרגיל את עצמו לאכול פת בשחרית (עין מסכת ב"מ דף קז ע"ב).
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|יב|הרוצה לאכול כמה מיני מאכלים, יקדים לאכול תחלה את המשלשל, ולא יערבם עם המזון, אלא שוהה מעט ביניהם. וכן יקדים את המאכל הקל שהוא נח להתעכל, כגון בשר עוף קודם לבשר בהמה, בשר בהמה דקה קודם לבשר בהמה גסה. ודברים שמאמצין את בני מעים יאכל מיד לאחר האכילה, ואל יאכל מהם הרבה.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|יג|מהיות כי התחלת העכול הוא בפה, על ידי טחינת השנים והתערבות עם מיץ הרוק, לכן לא יבלע שום מאכל בלי לעיסה, כי אז תכבד העכול באצטומכא לבדו.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|יד|כבר אמרנו (בסעיף ז') כי בני אדם אינם שוים במזגם. ויש לכל איש לבחור על פי רופאים במאכלים הטובים לפי מזגו ומקומו ושעתו. ובדרך כלל, הנה הרופאים הקדמונים חלקו את המאכלים במדרגות שונות. יש מאכלים שהם רעים ביותר עד מאוד, וראוי לאדם שלא לאכלן לעולם, כגון הדגים הגדולים המלוחים הישנים, והגבינה המלוחה הישנה, והכמהין ופטריות, והבשר המלוח הישן, ויין מגתו, והתבשיל ששהה עד שנדף ריחו. וכן כל מאכל שריחו רע או מר ביותר, הרי הוא לגוף כמו סם המות. ויש מאכלים שהם רעים, אבל אינם כמו הראשונים לרוע, לפיכך ראוי לאדם שלא לאכול מהם אלא מעט אחר ימים הרבה, ולא ירגיל את עצמו להיות מזונו מהם או לאכלם עם מזונו תמיד, כגון דגים גדולים וגבינה, וחלב ששהה אחר שנחלב עשרים וארבע שעות, ובשר שורים גדולים ותישים גדולים, ולחם שעורים ולחם מצות, והכרוב והחציר והבצלים והשומים והחרדל והצנון, כל אלו מאכלים רעים הם. ואין ראוי לאדם לאכול מאלו אלא מעט עד מאוד ובימות הגשמים. אבל בימות החמה, לא יאכל מהם כלל.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|טו|ויש מאכלים שהם רעים ואינם כמו אלו. והם, כמו עוף המים (אוז וברוז), ובני יונה הקטנים, ותמרים, ולחם שנלוש בשמן, והסולת שנפו אותה כל צרכה עד שלא נשאר בה ריח מורסן, אין ראוי להרבות במאכלות אלה.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|טז|לעולם ימנע האדם את עצמו מפרות האילנות, ולא ירבה לאכול מהם, אפלו יבשים, ומכל שכן רטובים. אבל קודם שיתבשלו באילן כל צרכן, הרי הן כחרבות לגוף. וכן החרובים, רעים לעולם. וכל הפרות החמוצים, רעים ואין אוכלין מהן אלא מעט בימות החמה ובמקומות החמים. והתאנים והענבים והרמונים (עין ברמב"ם פרק ד', וכפי הנראה דטעות סופר יש כאן וצריך לומר שקדים במקום רמונים) לעולם טובים, בין רטובים בין יבשים, ואוכל אדם מהם כל צרכו. ומכל מקום לא יתמיד באכילתם, אף על פי שהם טובים מכל פרי האילנות.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|יז|בענין השתיה, המים הם המשקים הטבעים לאדם ובריאים לגוף. אם הם זכים וצלולים, מועילים ששומרים הרטיבות שבגוף וממהרים להוציא את הפסולת. כשישתה מים, יבחר את הקרים, שהם מרוים הצמעון ומטיבים את העכול יותר מ אלו שאינם קרים. אך לא יהיו קרים מאוד, שהם מכבים את החום הטבעי. ומכל שכן כשהאדם הוא עיף ויגע, יזהר מאוד שלא לשתות מים קרים, כי אז חלב הלב נתחמם והוא מ הותך מחמת העיפות והיגיעה והמים הקרים יזיקו לו עד שיוכל לבא לידי סכנה, חס ושלום. ואף כי המים טובים לבריאות הגוף, מכל מקום לא ישתה מהם הרבה. אין לשתות מים קודם האכילה, לפי שיתקרר האצטומכא ולא יעכל את המזון כראוי. וגם בתוך אכילתו לא ישתה רק מעט מים מזוג ביין. ורק כשהמאכל מתחיל להתעכל, אז ישתה שעור בינוני. וכן אין לשתות מים בצאתו מן המרחץ, שלא יתקרר הכבד, ומכל שכן שלא ישתה במרחץ. וכן לא ישתה אותם תכף אחר המשגל, לפי שאז החום הטבעי הוא חלוש ויהיה גורם שיתקררו האברים.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|יח|היין מחזיק החום הטבעי, ומטיב את העכול, ומוציא את המותרות, ועוזר לבריאות הגוף כשישתה מהם שעור בנוני. מי שמוחו חלוש יזהר מן היין, שמוסיף על חלישותו וממלא את הראש עשנים. היין יפה לזקנים ומזיק לנערים, לפי שמעורר החום הטבעי, והוא כמוסיף אש על אש. ויש לזהר מן היין עד עשרים ואחת שנה. אין ראוי לשתות יין קודם אכילה אלא מעט, כדי לפתוח בני המעים, ולא בעת רעבון, ולא אחר מרחץ וזעה, ולא א חר עמל ויגיעה. ובתוך האכילה לא ישתה אלא מעט.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|יט|לעולם לא יאכל אדם אלא כשהוא רעב, ולא ישתה אלא כשהוא צמא, ואל ישהה נקביו אפלו רגע אחד, ולא יאכל עד שיבדוק את עצמו יפה יפה, שמא צריך לנקביו.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|כ|לעולם ישתדל אדם שיהיו מעיו רפויים כל ימיו, ויהיה קרוב לשלשול מעט. וזהו כלל גדול ברפואה, כל זמן שהרעי נמנע או יצא בקושי, חלאים רעים באים. ולכן כשרואה אדם שמעיו נחלשו ואין בהם כוח הדוחה, ידרוש ברופאים להגיד לו במה ירפה אותם, איש איש לפי מזגו ולפי ימיו.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|כא|היגיעה בדרך ממוצעת, טובה לבריאות הגוף (ועין לעיל סעיף ו) אבל היגיעה הגדולה וכן המנוחה, מזיקין לגוף. בזמן החום אין להתיגע רק מעט ובזמן הקור צריך יותר. האדם השמן צריך שיתיגע יותר מן האדם הכחוש.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|כב|הרוצה לשמור את הבריאות, צריך לדעת התנועות הנפשיות ולזהר מהן. והן, כמו השמחה והדאגה והכעס והפחד, שהן פועלות בנפש. וצריך המשכיל שיהא שמח בחלקו כל ימי הבלו, ולא ידאג על עולם שאינו שלו, ולא יבקש יתרונות, ויהיה בטוב לבב ובשמחה הממוצעת, כי היא סבה לגדל החום הטבעי, ולעכל המאכל, ולדחות המותרות, ולחזק אור העינים וכל ההרגשות, וגם יתחזק כוח השכל. ואמנם לא להרבות השמחה במאכל ובמשתה כמו הסכלים, כי ברוב השמחה יצא החמימות לשטח הגוף, ויותך החום הטבעי, ויתקרר הלב פתאום, וימות בלא עתו בפתע. ובפרט יקרה זאת לאנשים שמנים בגופם, לפי שהחום הטבעי בגופם מעט, לפי שעורקיהם צרים ומרוצת הדם שהוא מקור החום היא לאט. הדאגה היא הפוך השמחה, וגם היא מזקת, לפי שמקררת את הגוף, ויתקבץ החם הטבעי אל הלב ויביאהו אל המות. הכעס מעורר חמימות הגוף עד שיוליד מין ממיני הקדחת. הפחד יוליד בגוף קרירות, ולכן יקרה למפחד, רעדה. וכשתתרבה הקרירות, אולי ימות. ומכל שכן שצריך לזהר שלא יאכל כשהוא בכעס או בפחד או בדאגה, אלא כשהוא בשמחה ממוצעת.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|כג|הושנה הממוצעת טובה לבריאות הגוף, לפי שיתעכל מזונו וינוחו החושים. ואם יקרה לו מחמת חולי שאינו יכול לישון, צריך שיאכל דברים המביאים את השנה. אבל רבוי השנה, מזקת, לפי שיתמלא הראש מהאדים, כי ירבה העשן העולה מן הבטן אל המוח, וימלא הראש עשן ויזיק לגוף הזק גדול. כמו שיש לו לאדם לזהר שלא יישן תכף אחר האכילה, כן יש לו לזהר שלא יישן כשהוא רעב. כי כשאין מזון בגוף, יפעל החמימות במותרות ויתילד ממנו עשן נפסד ויעלה למוח. כשיישן, יהיו מראשותיו גבוהים, לפי שיעזור שירד המאכל מפי האצטומכא ויתמעטו העשנים העולים למוח. השנה הטבעית היא בלילה. ושנת היום מזקת, ואינה טובה אלא לאותן שהורגלו בה (עין עוד בסדר השנה בסימן עא).
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|כד|דרך הרחיצה, שיכנס אדם למרחץ משבעה ימים לשבעה ימים. לא יכנס למרחץ לא כשהוא רעב, ולא כשהוא שבע, אלא כשיתחיל המזון להתעכל. וירחץ גופו בחמין ואחר כך בפושרין ואחר כך בפושרין מן הפושרין עד שירחץ בצונן. כשיצא מן המרחץ, ילבש בגדיו ויכסה ראשו היטב, שלא תשלוט בו רוח קרה. ואפלו בימות החמה צריך להזהר בזה. וישהה לאחר שיצא עד שתתישב נפשו וינוח גופו ותסור החמימות, ואחר כך יאכל. ואם יישן מעט כשיצא מן המרחץ קודם אכילה, הרי זה יפה מאוד.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|כה|לעולם ישתדל אדם לדור במקום שהאויר זך ונקי, במקום גבוה ובבנין רחב. ואם אפשר, לא ידור בקיץ במקום פתוח לצד צפון, ולא לצד מזרח, ושלא יהיה שם שום דבר מעופש. וטוב מאוד לנקות אויר הבית תדיר בריחות טובים ובעשנים מועילים.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|כו|האויר הטוב לבריאות הגוף הוא, שיהא ממוזג שוה. ממוצע בין הקור והחום. ולכן יזהר כל אדם, שלא יחמם את ביתו הרבה בימות החרף כדרך אנשים בלי דעת, כי על ידי רוב החמימות, הרבה חלאים באים, רחמנא לצלן, אלא יחממו באופן אשר לא ירגיש שום קרירות, ולא יחם לו ביותר.
סימן לב - שמירת הגוף על פי הטבע ובו כ"ז סעיפים:|כז|לשמור חוש הראיה, יזהר מדברים אלו, לא יבא בחפזון בפעם אחת ממקום חושך לאור גדול. ואם צריך לכנס ממקום חושך למקום אור, יפתח את הדלת מעט ויסתכל באותו אור מועט איזה רגעים, ואחר כך יפתח יותר ויסתכל גם כן באותו אור איזה רגעים, ואחר כך יפתח כולה. וכן יעשה גם בבואו ממקום אור למקום חושך, כי התמורה מאור לחושך או מחושך לאור בלי ממוצע, מזיק לראיה. ולכן, ה' יתברך שמו, ברחמיו ברא את העולם בענין זה, שהשמש זורחת על הארץ מעט מעט, ולא בפעם אחת, וכן שוקעת מעט מעט. ועל זה אנו מברכין, המאיר לארץ ולדרים עליה ברחמים, שמאיר לנו ברחמים מעט מעט, ולא בפעם אחת פתאום. אור החוזר מן השמש, פרוש שהשמש זורחת על איזה מקום ומשם בא האור, אור זה מזיק לעינים. לכן יזהר מלדור בבית אשר כל החלונות רק מצד צפון, כי השמש אינה באה לצד צפון, וכל האור אשר שמה הוא רק אור החוזר. וכן אפלו אם החלונות המה לצד מזרח או דרום או מערב, אם אין השמים נראין מתוך החלונות, כגון שיש כנגדן חומות גבוהות, הרי גם כן האור הבא הוא רק אור החוזר. יזהר מלעסוק בכתיבה, או לקרות בספר, או לעשות כל מלאכה דקה באור בין השמשות. וכן בעצם היום כאשר השמש בתקפה. וכן לא ירבה בכתיבה או לקרות בספר באותיות קטנות ובכל מלאכה דקה לאור הנר בלילה. ההסתכלות הרבה בצבע לבן גם כן מזיקה לעינים. ולכן מראה השמים כמראה התכלת, לא לבן, כדי שלא יזיק לעינים. וכן ההסתכלות הרבה במראה אדום צח וכן באש, מזיקה גם כן. העשן וריח גפרית, מזיקין גם כן. וכן אבק דק או רוח הבא לנגד העינים, וכן הליכה מרובה ופסיעה גסה, ובכיה מרובה, כמו שאמר הכתוב, כלו בדמעות עיני. והקשה מכולן הוא רוב המשגל. אבל מצות ה' ברה מאירת עינים (רמב"ם).
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|א|אסור לאכול דג עם בשר, ואפלו עם שומן עופות, מפני הסכנה. ואין לצלות בשר עם דג בתנור אחד, כשהוא תנור קטן, אלא כשאחד מהם מכוסה. אבל בתנורים שלנו שהם גדולים אין לחוש.
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|ב|כשאוכל דגים ואחר כך בשר או להפך, יש לאכול ביניהם קצת פת, ולשתות איזה משקה, דהוי קנוח והדחה.
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|ג|צריך לזהר מזעת אדם, שכל זעת אדם הוא סם המות, חוץ מזעת הפנים. ולכן יזהר שלא יתן מאכל בין בגדיו לבשרו מפני הזעה. וכן לא יתן מעות לתוך פיו, שמא יש עליהם מעט זעה, ועוד שיד הכול ממשמשין בהן, ויש מהם חולים (יורה דעה סימן קט"ז)
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|ד|צריך כל אדם לזהר תמיד כשמריח ריח איזה מאכל, יפליט כל הרוק שבפיו ולא יבלענו, כי אם בולעו, יוכל לבא לידי סכנה, חס ושלום (כתובו' סא:)
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|ה|יש לזהר שלא לשתות משקים שנתגלו.
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|ו|אסור לתן דבר מאכל או משקים תחת המטה, אפלו הם מכוסים, מפני שרוח רעה שורה עליהם. ובכפרים, יש מחזיקים תפוחי אדמה ושאר מאכלים תחת המטות, ויש להזהירם על זה.
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|ז|וכן יזהר מכל דברים המביאים לידי סכנה, כי סכנתא חמירא מאסורא. ויש לחוש יותר לספק סכנה מלספק אסור. ולכן אסור לילך בכל מקום סכנה, כגון, תחת קיר נטוי, ועל גשר רעוע, ולא יצא יחידי בלילה, ולא יישן יחידי בחדר בלילה. וכן אסרו לשתות מים מן הנהרות בלילה, או להניח פיו על קלוח המים לשתות, שמא יבלע איזה דבר המזיק (יו"ד קטן חו"מ תכז).
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|ח|נוהגין שבשעת התקופה מניחין קצת ברזל על כל המשקים ומאכלים. ועל המבושלים או כבושים או מלוחים אין צריכין.
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|ט|אסור לאכול מאכלים ומשקים שנפשו של אדם קצה בהם, או מתוך כלים מאוסים שנפשו של אדם קצה בהם, וכן לא יאכל בידים מזוהמות. שכל אלו הם בכלל אל תשקצו את נפשותיכם. ואפלו יאמר שאין נפשו קצה בהם, בטלה דעתו אצל כל אדם.
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|י|בהמה או עוף שהיו מסוכנים ונשחטו, אף על פי שהותרו בשחיטה, המדקדקים מחמירים על עצמם שלא לאכלם.
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|יא|אסור לקצוץ אילן מאכל העושה פרות, (אילן זית שהוא עושה רובע הקב זיתים, ודקל העושה קב תמרים, בבא קמא צ"א) והיא סכנה. ואם הוא סמוך לאילנות אחרות שחשובים יותר ממנו והוא מכחיש אותם, וכן אם צריך למקומו, מותר לקצצו (יורה דעה סימן קט"ז)
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|יב|החושש במעיו, יש עושין לרפואה שמעמידין על בטנו כלי שיש בו מים חמים, ואסור לעשות כן מפני הסכנה (אורח חיים סימן שכ"ו).
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|יג|אסור לעבור בנחל שמימיו רודפין, אם המים מגיעים למעלה ממתנים, משום סכנה, שלא ישטפוהו המים (יומא דף ע"ז ע"ב)
סימן לג - דברים האסורים משום סכנה ובו י"ד סעיפים:|יד|אסור להוציא מפיו דבר פורענות על אדם מישוראל, אפלו לומר, אלו היה פלוני קים היה בא לכאן, כי ברית כרותה לשפתים. ואין לעשות מורא לתינוק בדבר טמא, כגון לומר: חתול או כלב יקחהו. וכן בכל כיוצא באלו, צריך לזהר מאוד מהרגל הלשון (ועין לקמן סימן ר"ז סעיף ג').
